Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Segment
Kling Inc ,0,374,15751199.0,5,3,3,533,11,Loyal
Kling Inc Pharm,0,388,13323467.0,5,4,2,542,11,At Risk
Kling Inc Pharmaceutical Ltd,731,203,4017753.0,1,1,2,112,4,New
"Koch, Borer and Hagenes ",731,206,2787706.0,1,1,1,111,3,Lost
"Koch, Borer and Hagenes Pharm",0,383,26877575.0,5,3,5,535,13,Loyal
"Koch, Borer and Hagenes Pharmaceutical Ltd",0,406,17054360.0,5,5,3,553,13,Loyal
Koch-Osinski Pharm,731,185,2336644.0,1,1,1,111,3,Lost
Koch-Osinski Pharmaceutical Ltd,0,392,13539952.0,5,4,2,542,11,At Risk
Koch-Osinski Pharmacy,0,370,18643316.0,5,2,4,524,11,At Risk
"Koelpin, Luettgen and Abernathy Pharmaceutical Ltd",0,413,20073196.0,5,5,4,554,14,Champions
"Koelpin, Luettgen and Abernathy Pharmacy",0,389,18731547.0,5,4,4,544,13,Champions
Kohler-Bednar Pharm,0,375,26531140.0,5,3,5,535,13,Loyal
Kohler-Bednar Pharmaceutical Ltd,0,406,21231109.0,5,5,4,554,14,Champions
Konopelski-Blick ,0,374,12360135.0,5,3,2,532,10,At Risk
Konopelski-Blick Pharmaceutical Limited,0,377,14748118.0,5,3,3,533,11,Loyal
Koss Ltd Pharma Plc,0,403,18642972.0,5,5,4,554,14,Champions
Koss Ltd Pharmaceutical Limited,731,202,6361234.0,1,1,2,112,4,New
Koss Ltd Pharmaceutical Ltd,0,397,20745807.31658,5,4,4,544,13,Champions
Koss-Beier ,731,230,3560602.0,1,2,1,121,4,New
Koss-Beier Pharmaceutical Limited,0,394,12833771.0,5,4,2,542,11,At Risk
Koss-Beier Pharmacy,0,408,22042100.202429,5,5,4,554,14,Champions
Kozey Ltd Pharma Plc,0,410,36209584.0,5,5,5,555,15,Champions
Kozey Ltd Pharmaceutical Ltd,731,202,3927833.0,1,1,1,111,3,Lost
Kozey Ltd Pharmacy,0,372,21782008.0,5,3,4,534,12,Loyal
Kozey-Emmerich ,0,388,20673989.0,5,4,4,544,13,Champions
Kozey-Emmerich Pharmacy,0,389,24471675.0,5,4,5,545,14,Champions
Kozey-Schroeder ,731,211,2692556.0,1,1,1,111,3,Lost
Kozey-Schroeder Pharm,0,370,14886170.0,5,2,3,523,10,At Risk
Kozey-Schroeder Pharma Plc,0,372,14723207.0,5,3,3,533,11,Loyal
Kreiger Inc ,0,337,15567095.0,5,2,3,523,10,At Risk
Kreiger Inc Pharm,0,395,20444291.0,5,4,4,544,13,Champions
Kreiger Inc Pharma Plc,731,224,7063000.0,1,2,2,122,5,New
Kris LLC Pharm,0,431,20255777.0,5,5,4,554,14,Champions
Kris LLC Pharmaceutical Limited,0,409,13490977.0,5,5,2,552,12,At Risk
Kris LLC Pharmaceutical Ltd,0,354,15762953.0,5,2,3,523,10,At Risk
Kris LLC Pharmacy,0,364,18272447.0,5,2,4,524,11,At Risk
"Kshlerin, Ryan and Leuschke ",0,422,16996416.0,5,5,3,553,13,Loyal
"Kshlerin, Ryan and Leuschke Pharm",0,382,15476722.0,5,3,3,533,11,Loyal
"Kshlerin, Ryan and Leuschke Pharma Plc",731,212,3293958.0,1,1,1,111,3,Lost
"Kub, Von and Herzog Pharmaceutical Limited",0,373,19622265.0,5,3,4,534,12,Loyal
"Kub, Von and Herzog Pharmaceutical Ltd",0,369,17819138.0,5,2,3,523,10,At Risk
"Kub, Von and Herzog Pharmacy",731,192,3602060.0,1,1,1,111,3,Lost
Kuhic LLC ,0,372,17671833.0,5,3,3,533,11,Loyal
Kuhic LLC Pharma Plc,731,189,2423879.0,1,1,1,111,3,Lost
Kuhic LLC Pharmaceutical Limited,0,404,11710499.77551,5,5,2,552,12,At Risk
Kunze PLC Pharm,731,214,3501226.0,1,2,1,121,4,New
Kunze PLC Pharma Plc,0,351,13453584.0,5,2,2,522,9,At Risk
"Kuphal, D'Amore and Bode Pharm",0,409,28307927.0,5,5,5,555,15,Champions
"Kuphal, D'Amore and Bode Pharmaceutical Ltd",731,187,3400026.0,1,1,1,111,3,Lost
"Kuphal, D'Amore and Bode Pharmacy",0,418,15316826.0,5,5,3,553,13,Loyal
"Kuphal, Herzog and Purdy ",0,421,40796789.0,5,5,5,555,15,Champions
"Kuphal, Herzog and Purdy Pharmaceutical Limited",0,392,24833458.0,5,4,5,545,14,Champions
"Kutch, Daniel and Ortiz Pharm",0,353,16809160.0,5,2,3,523,10,At Risk
Kutch-Marks Pharm,731,191,3231751.0,1,1,1,111,3,Lost
Kutch-Marks Pharma Plc,0,395,15513302.0,5,4,3,543,12,Loyal
Kutch-Marks Pharmaceutical Limited,0,385,20617497.0,5,3,4,534,12,Loyal
"Langworth, Olson and Satterfield Pharm",0,385,15772110.0,5,3,3,533,11,Loyal
"Langworth, Olson and Satterfield Pharmacy",0,366,31072449.0,5,2,5,525,12,At Risk
Leannon-West ,0,408,17512900.0,5,5,3,553,13,Loyal
Leannon-West Pharmaceutical Limited,0,371,25826483.0,5,3,5,535,13,Loyal
Leannon-West Pharmacy,731,205,2559759.0,1,1,1,111,3,Lost
"Lebsack, Yost and Heller Pharma Plc",0,376,19922088.0,5,3,4,534,12,Loyal
"Lebsack, Yost and Heller Pharmaceutical Limited",731,204,3206856.0,1,1,1,111,3,Lost
Leffler-Russel Pharm,731,220,2379629.0,1,2,1,121,4,New
Leffler-Russel Pharmaceutical Limited,0,420,25721319.0,5,5,5,555,15,Champions
Leffler-Russel Pharmaceutical Ltd,0,390,20622800.0,5,4,4,544,13,Champions
Legros-Runte Pharmaceutical Limited,0,374,16007135.102041,5,3,3,533,11,Loyal
Legros-Runte Pharmaceutical Ltd,0,371,14770636.0,5,3,3,533,11,Loyal
Lemke Ltd Pharm,731,186,2345679.0,1,1,1,111,3,Lost
Lemke Ltd Pharma Plc,0,400,20699395.0,5,5,4,554,14,Champions
Lemke Ltd Pharmaceutical Limited,0,404,15071628.0,5,5,3,553,13,Loyal
Lesch PLC Pharma Plc,0,369,16539119.33198,5,2,3,523,10,At Risk
Lesch PLC Pharmaceutical Ltd,731,213,3107873.0,1,2,1,121,4,New
Lesch PLC Pharmacy,731,189,3230884.0,1,1,1,111,3,Lost
Leuschke PLC Pharm,0,357,12135998.0,5,2,2,522,9,At Risk
Leuschke PLC Pharmaceutical Ltd,0,382,17277381.0,5,3,3,533,11,Loyal
Leuschke PLC Pharmacy,731,185,5137740.0,1,1,2,112,4,New
"Leuschke, Waters and Schowalter Pharma Plc",0,399,20001994.0,5,4,4,544,13,Champions
"Leuschke, Waters and Schowalter Pharmaceutical Ltd",731,206,4129060.0,1,1,2,112,4,New
"Leuschke, Waters and Schowalter Pharmacy",0,378,23867707.0,5,3,5,535,13,Loyal
Lindgren-Simonis Pharm,731,211,4571771.0,1,1,2,112,4,New
Lindgren-Simonis Pharmacy,0,404,15471141.0,5,5,3,553,13,Loyal
Lockman Ltd ,731,202,2957683.0,1,1,1,111,3,Lost
Lockman Ltd Pharm,0,392,14684247.0,5,4,3,543,12,Loyal
Lockman Ltd Pharma Plc,0,398,17461646.0,5,4,3,543,12,Loyal
Lockman-Welch ,0,387,15920169.0,5,4,3,543,12,Loyal
Lockman-Welch Pharm,731,193,2837300.0,1,1,1,111,3,Lost
Lockman-Welch Pharmaceutical Limited,0,411,17335790.0,5,5,3,553,13,Loyal
Mann-Waelchi Pharm,731,194,2728045.0,1,1,1,111,3,Lost
Mann-Waelchi Pharma Plc,0,422,17692534.0,5,5,3,553,13,Loyal
Mann-Waelchi Pharmacy,0,397,18720448.0,5,4,4,544,13,Champions
Mante-Grady Pharm,731,214,3553977.0,1,2,1,121,4,New
Mante-Grady Pharma Plc,0,384,18523791.0,5,3,4,534,12,Loyal
Mante-Grady Pharmaceutical Ltd,0,372,16037517.0,5,3,3,533,11,Loyal
Marquardt PLC ,0,398,18752095.0,5,4,4,544,13,Champions
Marquardt PLC Pharmaceutical Ltd,0,373,13589800.0,5,3,2,532,10,At Risk
Marquardt-Ryan Pharm,0,418,12679857.0,5,5,2,552,12,At Risk
Marquardt-Ryan Pharma Plc,0,404,33961522.0,5,5,5,555,15,Champions
Marquardt-Ryan Pharmaceutical Ltd,731,175,3454170.0,1,1,1,111,3,Lost
Mayert-Weber ,0,381,15742177.0,5,3,3,533,11,Loyal
Mayert-Weber Pharmaceutical Ltd,0,429,23393254.0,5,5,5,555,15,Champions
"McClure, Zemlak and Dibbert Pharma Plc",731,189,3536029.0,1,1,1,111,3,Lost
"McClure, Zemlak and Dibbert Pharmaceutical Limited",731,213,2530886.0,1,2,1,121,4,New
"McClure, Zemlak and Dibbert Pharmacy",0,358,13354207.0,5,2,2,522,9,At Risk
McCullough LLC Pharma Plc,731,206,3408632.0,1,1,1,111,3,Lost
McCullough LLC Pharmaceutical Limited,0,391,13922199.0,5,4,2,542,11,At Risk
McCullough LLC Pharmaceutical Ltd,0,370,26009596.0,5,2,5,525,12,At Risk
McDermott Group Pharmaceutical Ltd,0,409,18297390.0,5,5,4,554,14,Champions
McDermott Group Pharmacy,0,392,15516544.0,5,4,3,543,12,Loyal
McDermott Inc Pharma Plc,0,427,29943117.0,5,5,5,555,15,Champions
McDermott Inc Pharmacy,0,404,31550539.0,5,5,5,555,15,Champions
McKenzie-Zemlak Pharm,0,418,17622490.8,5,5,3,553,13,Loyal
McKenzie-Zemlak Pharma Plc,0,393,28444161.0,5,4,5,545,14,Champions
Medhurst-Beer ,0,401,19090504.0,5,5,4,554,14,Champions
Medhurst-Beer Pharm,0,376,28268206.0,5,3,5,535,13,Loyal
Medhurst-Beer Pharmaceutical Limited,731,157,3694840.0,1,1,1,111,3,Lost
Miller-Satterfield Pharm,0,388,16786054.0,5,4,3,543,12,Loyal
Miller-Satterfield Pharma Plc,731,210,3091263.0,1,1,1,111,3,Lost
Miller-Satterfield Pharmaceutical Limited,0,420,21825298.0,5,5,4,554,14,Champions
Mills Inc Pharma Plc,731,195,4170514.0,1,1,2,112,4,New
Mills Inc Pharmaceutical Ltd,0,385,45939009.0,5,3,5,535,13,Loyal
Mills Inc Pharmacy,0,385,24461745.0,5,3,5,535,13,Loyal
"Moen, Murazik and Smith ",731,196,4581024.0,1,1,2,112,4,New
"Moen, Murazik and Smith Pharm",0,395,50885320.0,5,4,5,545,14,Champions
"Moen, Murazik and Smith Pharmaceutical Ltd",0,392,17536137.8882,5,4,3,543,12,Loyal
Monahan Ltd ,731,191,2596736.0,1,1,1,111,3,Lost
Monahan Ltd Pharma Plc,0,392,22617294.0,5,4,5,545,14,Champions
Monahan Ltd Pharmaceutical Ltd,0,400,18213409.0,5,5,4,554,14,Champions
Moore PLC Pharm,0,344,11821594.0,5,2,2,522,9,At Risk
Moore PLC Pharmaceutical Ltd,731,181,2513717.0,1,1,1,111,3,Lost
Mraz Group Pharma Plc,0,400,23133178.0,5,5,5,555,15,Champions
Mraz Group Pharmaceutical Limited,0,376,20423132.0,5,3,4,534,12,Loyal
Mraz Group Pharmacy,731,212,3907690.0,1,1,1,111,3,Lost
Mraz-Kutch Pharm,731,199,2262808.0,1,1,1,111,3,Lost
Mraz-Kutch Pharma Plc,0,378,93561780.0,5,3,5,535,13,Loyal
Mraz-Kutch Pharmacy,0,393,11938923.0,5,4,2,542,11,At Risk
Murray PLC ,0,390,12013852.0,5,4,2,542,11,At Risk
Murray PLC Pharma Plc,0,404,21289048.0,5,5,4,554,14,Champions
Nader-Borer Pharm,0,402,25575623.0,5,5,5,555,15,Champions
Nader-Borer Pharma Plc,731,230,5079190.0,1,2,2,122,5,New
Nader-Borer Pharmaceutical Limited,0,381,13453890.0,5,3,2,532,10,At Risk
Nader-Gaylord Pharmaceutical Limited,731,205,3707047.0,1,1,1,111,3,Lost
Nader-Gaylord Pharmaceutical Ltd,731,229,6200373.0,1,2,2,122,5,New
Nader-Gaylord Pharmacy,0,372,17267414.0,5,3,3,533,11,Loyal
"Nitzsche, Effertz and Maggio ",0,417,25339434.0,5,5,5,555,15,Champions
"Nitzsche, Effertz and Maggio Pharmaceutical Limited",0,418,23174533.0,5,5,5,555,15,Champions
"Nitzsche, Effertz and Maggio Pharmacy",731,224,5223760.0,1,2,2,122,5,New
"Nolan, DuBuque and Schultz ",0,434,16112843.0,5,5,3,553,13,Loyal
"Nolan, DuBuque and Schultz Pharm",731,178,3343612.0,1,1,1,111,3,Lost
"Nolan, DuBuque and Schultz Pharmacy",0,396,18873464.0,5,4,4,544,13,Champions
Okuneva-Corkery ,731,192,2095542.0,1,1,1,111,3,Lost
Okuneva-Corkery Pharm,0,392,21323000.0,5,4,4,544,13,Champions
Okuneva-Corkery Pharma Plc,0,371,16840527.0,5,3,3,533,11,Loyal
Ondricka Ltd ,0,369,16207564.0,5,2,3,523,10,At Risk
Ondricka Ltd Pharmaceutical Ltd,0,345,12670917.0,5,2,2,522,9,At Risk
Ondricka Ltd Pharmacy,731,187,4578864.0,1,1,2,112,4,New
"Ondricka, Rosenbaum and Beahan ",731,233,4642387.0,1,2,2,122,5,New
"Ondricka, Rosenbaum and Beahan Pharm",0,356,17649861.46154,5,2,3,523,10,At Risk
Ondricka-Waters Pharmaceutical Limited,0,388,11726828.0,5,4,2,542,11,At Risk
Ondricka-Waters Pharmaceutical Ltd,0,388,19729526.0,5,4,4,544,13,Champions
Osinski-Botsford Pharm,0,389,17335979.0,5,4,3,543,12,Loyal
Osinski-Botsford Pharmacy,0,371,16144534.0,5,3,3,533,11,Loyal
Osinski-Collins ,0,375,28011167.0,5,3,5,535,13,Loyal
Osinski-Collins Pharma Plc,0,356,16098974.0,5,2,3,523,10,At Risk
Osinski-Collins Pharmaceutical Ltd,731,212,3884234.8,1,1,1,111,3,Lost
Parisian Ltd Pharm,731,204,3381766.0,1,1,1,111,3,Lost
Parisian Ltd Pharma Plc,0,407,15635527.0,5,5,3,553,13,Loyal
Parisian Ltd Pharmacy,0,378,14442606.0,5,3,2,532,10,At Risk
"Parisian, Hagenes and Skiles Pharm",0,372,21430428.0,5,3,4,534,12,Loyal
"Parisian, Hagenes and Skiles Pharma Plc",731,208,2946576.0,1,1,1,111,3,Lost
"Parisian, Hagenes and Skiles Pharmacy",0,350,13925511.0,5,2,2,522,9,At Risk
"Parker, Green and Emmerich Pharma Plc",0,398,64890501.0,5,4,5,545,14,Champions
"Parker, Green and Emmerich Pharmacy",0,369,29336133.0,5,2,5,525,12,At Risk
Paucek PLC ,0,364,16824928.0,5,2,3,523,10,At Risk
Paucek PLC Pharm,0,396,15993869.0,5,4,3,543,12,Loyal
"Paucek, Keeling and Bruen Pharm",731,190,2835262.0,1,1,1,111,3,Lost
"Paucek, Keeling and Bruen Pharma Plc",0,395,18632011.0,5,4,4,544,13,Champions
"Paucek, Keeling and Bruen Pharmaceutical Limited",0,393,16291044.0,5,4,3,543,12,Loyal
Pfannerstill Group ,0,406,18414251.0,5,5,4,554,14,Champions
Pfannerstill Group Pharmaceutical Limited,0,390,16547668.0,5,4,3,543,12,Loyal
Pfannerstill Group Pharmaceutical Ltd,731,180,2627854.0,1,1,1,111,3,Lost
"Pfannerstill, Upton and Balistreri Pharm",0,416,12344160.0,5,5,2,552,12,At Risk
"Pfannerstill, Upton and Balistreri Pharmacy",0,360,17983292.0,5,2,4,524,11,At Risk
Pfeffer-Hodkiewicz ,0,387,16313574.0,5,4,3,543,12,Loyal
Pfeffer-Hodkiewicz Pharm,0,376,15917456.0,5,3,3,533,11,Loyal
Pfeffer-Hodkiewicz Pharmaceutical Ltd,731,211,1679772.0,1,1,1,111,3,Lost
Pfeffer-Kirlin Pharmaceutical Limited,0,409,19226447.57143,5,5,4,554,14,Champions
Pfeffer-Kirlin Pharmacy,0,386,16240979.0,5,4,3,543,12,Loyal
Powlowski-Buckridge ,0,380,21966431.0,5,3,4,534,12,Loyal
Powlowski-Buckridge Pharma Plc,731,205,4039277.0,1,1,2,112,4,New
Powlowski-Buckridge Pharmacy,0,391,25692654.0,5,4,5,545,14,Champions
Predovic LLC Pharmaceutical Limited,0,410,35118268.0,5,5,5,555,15,Champions
Predovic LLC Pharmaceutical Ltd,0,376,18361211.0,5,3,4,534,12,Loyal
"Prohaska, Bogisich and Gutkowski Pharm",0,405,19023462.0,5,5,4,554,14,Champions
"Prohaska, Bogisich and Gutkowski Pharmaceutical Limited",0,387,37037760.0,5,4,5,545,14,Champions
Prohaska-Kuhic Pharma Plc,0,396,17250473.0,5,4,3,543,12,Loyal
Prohaska-Kuhic Pharmaceutical Limited,0,376,15249768.0,5,3,3,533,11,Loyal
Prohaska-Kuhic Pharmacy,731,192,3101884.0,1,1,1,111,3,Lost
Purdy Ltd ,0,397,13411245.0,5,4,2,542,11,At Risk
Purdy Ltd Pharm,0,366,20906037.0,5,2,4,524,11,At Risk
Purdy Ltd Pharmaceutical Limited,731,190,5462556.0,1,1,2,112,4,New
Quigley-Heathcote Pharm,0,358,21522816.0,5,2,4,524,11,At Risk
Quigley-Heathcote Pharmaceutical Ltd,0,365,28708135.0,5,2,5,525,12,At Risk
Raynor LLC Pharm,0,378,21622957.0,5,3,4,534,12,Loyal
Raynor LLC Pharmaceutical Limited,0,362,26220594.0,5,2,5,525,12,At Risk
Raynor-Graham ,0,392,40464749.0,5,4,5,545,14,Champions
Raynor-Graham Pharma Plc,0,373,19343253.0,5,3,4,534,12,Loyal
Raynor-Graham Pharmaceutical Limited,731,226,2624693.0,1,2,1,121,4,New
Reichel Inc ,0,358,43495626.0,5,2,5,525,12,At Risk
Reichel Inc Pharm,0,382,15055189.0,5,3,3,533,11,Loyal
Reilly Ltd ,731,186,3627565.0,1,1,1,111,3,Lost
Reilly Ltd Pharma Plc,0,420,21219227.30669,5,5,4,554,14,Champions
Reilly Ltd Pharmacy,0,425,34834844.0,5,5,5,555,15,Champions
Reinger Group Pharma Plc,0,359,17164814.0,5,2,3,523,10,At Risk
Reinger Group Pharmaceutical Limited,0,385,18358327.0,5,3,4,534,12,Loyal
"Reinger, Kihn and Goyette Pharma Plc",0,408,19778627.0,5,5,4,554,14,Champions
"Reinger, Kihn and Goyette Pharmaceutical Limited",0,341,22515286.0,5,2,5,525,12,At Risk
"Reynolds, Jast and Mante ",0,410,21740500.0,5,5,4,554,14,Champions
"Reynolds, Jast and Mante Pharm",0,393,20640886.0,5,4,4,544,13,Champions
"Reynolds, Jast and Mante Pharma Plc",731,182,2595109.0,1,1,1,111,3,Lost
Ritchie-Rodriguez Pharm,731,210,4467582.0,1,1,2,112,4,New
Ritchie-Rodriguez Pharmacy,0,397,17239990.0,5,4,3,543,12,Loyal
"Rodriguez, Stokes and Dickens ",0,371,20541665.0,5,3,4,534,12,Loyal
"Rodriguez, Stokes and Dickens Pharma Plc",0,402,23460867.0,5,5,5,555,15,Champions
Rogahn-Klein Pharm,0,376,13172559.0,5,3,2,532,10,At Risk
Rogahn-Klein Pharma Plc,0,422,23135473.0,5,5,5,555,15,Champions
Rogahn-Klein Pharmacy,731,216,2311818.0,1,2,1,121,4,New
Rohan Inc ,731,208,3926971.0,1,1,1,111,3,Lost
Rohan Inc Pharm,0,370,19951746.0,5,2,4,524,11,At Risk
Rohan Inc Pharmaceutical Limited,0,390,22613614.0,5,4,5,545,14,Champions
Rohan PLC Pharmaceutical Limited,731,194,2521239.0,1,1,1,111,3,Lost
Rohan PLC Pharmacy,0,378,13978216.0,5,3,2,532,10,At Risk
Rohan and Sons Pharma Plc,0,409,21305652.0,5,5,4,554,14,Champions
Rohan and Sons Pharmaceutical Limited,0,378,11842430.0,5,3,2,532,10,At Risk
"Romaguera, Moen and Hagenes Pharm",0,401,21255149.0,5,5,4,554,14,Champions
"Romaguera, Moen and Hagenes Pharmaceutical Limited",731,188,3111337.0,1,1,1,111,3,Lost
"Romaguera, Moen and Hagenes Pharmacy",0,420,42066659.9681,5,5,5,555,15,Champions
Romaguera-Fay Pharmaceutical Limited,731,199,3329758.0,1,1,1,111,3,Lost
Romaguera-Fay Pharmaceutical Ltd,0,354,21247656.0,5,2,4,524,11,At Risk
Roob PLC ,731,189,4390668.0,1,1,2,112,4,New
Roob PLC Pharm,0,415,20926781.0,5,5,4,554,14,Champions
Roob PLC Pharmaceutical Limited,0,393,22007985.0,5,4,4,544,13,Champions
"Roob, Ernser and Kub Pharmaceutical Limited",731,191,4206718.0,1,1,2,112,4,New
"Roob, Ernser and Kub Pharmaceutical Ltd",0,355,10990529.0,5,2,2,522,9,At Risk
"Roob, Ernser and Kub Pharmacy",0,405,17692456.0,5,5,3,553,13,Loyal
"Rosenbaum, Klein and Herzog ",731,195,2864547.0,1,1,1,111,3,Lost
"Rosenbaum, Klein and Herzog Pharma Plc",0,376,15130196.0,5,3,3,533,11,Loyal
"Rosenbaum, Klein and Herzog Pharmaceutical Ltd",0,378,14918650.0,5,3,3,533,11,Loyal
Rosenbaum-Tromp Pharm,0,376,14675189.0,5,3,3,533,11,Loyal
Rosenbaum-Tromp Pharmacy,0,367,26339532.0,5,2,5,525,12,At Risk
Rowe PLC ,0,410,15353117.0,5,5,3,553,13,Loyal
Rowe PLC Pharm,0,373,21546337.0,5,3,4,534,12,Loyal
Rowe PLC Pharmaceutical Ltd,731,204,2271736.0,1,1,1,111,3,Lost
"Runolfsson, Swaniawski and Jaskolski Pharmaceutical Limited",0,387,36479210.0,5,4,5,545,14,Champions
"Runolfsson, Swaniawski and Jaskolski Pharmacy",731,216,3043450.0,1,2,1,121,4,New
Runolfsson-Halvorson Pharm,0,407,31642569.0,5,5,5,555,15,Champions
Runolfsson-Halvorson Pharmacy,0,399,17223509.0,5,4,3,543,12,Loyal
Runolfsson-Powlowski Pharmaceutical Limited,0,380,14949597.0,5,3,3,533,11,Loyal
Runolfsson-Powlowski Pharmacy,0,391,30369421.0,5,4,5,545,14,Champions
Runte-Marquardt Pharm,0,382,17661974.0,5,3,3,533,11,Loyal
Runte-Marquardt Pharmaceutical Ltd,731,201,3158566.0,1,1,1,111,3,Lost
Runte-Marquardt Pharmacy,0,361,21319134.0,5,2,4,524,11,At Risk
Rutherford and Sons ,731,209,4480098.0,1,1,2,112,4,New
Rutherford and Sons Pharm,0,411,28046966.0,5,5,5,555,15,Champions
Rutherford and Sons Pharmaceutical Ltd,0,401,19824807.0,5,5,4,554,14,Champions
"Sanford, Franecki and Greenholt ",731,223,3070886.0,1,2,1,121,4,New
"Sanford, Franecki and Greenholt Pharma Plc",0,374,19908055.0,5,3,4,534,12,Loyal
"Sanford, Franecki and Greenholt Pharmaceutical Ltd",0,400,20610430.0,5,5,4,554,14,Champions
Sauer and Sons ,0,372,13536070.0,5,3,2,532,10,At Risk
Sauer and Sons Pharmaceutical Limited,731,208,2973298.0,1,1,1,111,3,Lost
Sauer and Sons Pharmacy,0,335,15935851.0,5,2,3,523,10,At Risk
Sauer-Herzog Pharmaceutical Limited,0,370,23371565.0,5,2,5,525,12,At Risk
Sauer-Herzog Pharmacy,0,388,16994328.0,5,4,3,543,12,Loyal
Schaden-Hirthe ,0,354,12523819.0,5,2,2,522,9,At Risk
Schaden-Hirthe Pharmaceutical Ltd,731,205,3352381.0,1,1,1,111,3,Lost
Schaefer Group ,0,373,23902163.2,5,3,5,535,13,Loyal
Schaefer Group Pharmaceutical Limited,731,209,2989447.0,1,1,1,111,3,Lost
Schaefer Group Pharmaceutical Ltd,0,349,14974616.0,5,2,3,523,10,At Risk
Schaefer LLC Pharma Plc,0,360,14407122.0,5,2,2,522,9,At Risk
Schaefer LLC Pharmacy,731,189,2620098.0,1,1,1,111,3,Lost
Schaefer-Rolfson ,731,162,2631811.0,1,1,1,111,3,Lost
Schaefer-Rolfson Pharma Plc,0,389,15895407.0,5,4,3,543,12,Loyal
Schaefer-Rolfson Pharmacy,0,414,25752521.0,5,5,5,555,15,Champions
Schimmel-Waelchi Pharma Plc,0,382,17911176.0,5,3,3,533,11,Loyal
Schimmel-Waelchi Pharmaceutical Limited,0,422,18476676.0,5,5,4,554,14,Champions
Schimmel-Waelchi Pharmaceutical Ltd,731,210,2377130.0,1,1,1,111,3,Lost
"Schinner, Gaylord and Treutel Pharmaceutical Limited",0,354,11028227.0,5,2,2,522,9,At Risk
"Schinner, Gaylord and Treutel Pharmaceutical Ltd",731,207,2690295.0,1,1,1,111,3,Lost
"Schinner, Gaylord and Treutel Pharmacy",0,380,12306464.0,5,3,2,532,10,At Risk
Schmitt LLC Pharm,731,217,3341084.0,1,2,1,121,4,New
Schmitt LLC Pharma Plc,0,395,18286334.0,5,4,4,544,13,Champions
"Schmitt, Berge and Haley Pharma Plc",731,193,2384835.0,1,1,1,111,3,Lost
"Schmitt, Berge and Haley Pharmaceutical Ltd",0,386,19608106.0,5,4,4,544,13,Champions
"Schowalter, Runolfsson and VonRueden Pharmaceutical Limited",0,397,31069500.0,5,4,5,545,14,Champions
"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",731,220,4480859.0,1,2,2,122,5,New
Schulist LLC Pharmaceutical Limited,0,372,21735153.778894,5,3,4,534,12,Loyal
Schulist-Zulauf ,0,410,28393501.0,5,5,5,555,15,Champions
Schulist-Zulauf Pharm,731,195,2726406.0,1,1,1,111,3,Lost
Schulist-Zulauf Pharmaceutical Ltd,0,395,17355962.0,5,4,3,543,12,Loyal
Schuppe Inc ,0,386,18530700.0,5,4,4,544,13,Champions
Schuppe Inc Pharm,0,397,25768671.0,5,4,5,545,14,Champions
Senger-Kirlin Pharma Plc,0,360,18104944.0,5,2,4,524,11,At Risk
Senger-Kirlin Pharmaceutical Ltd,0,389,33714954.0,5,4,5,545,14,Champions
Senger-Kirlin Pharmacy,731,211,2918224.0,1,1,1,111,3,Lost
Sipes and Sons Pharma Plc,0,359,16316094.0,5,2,3,523,10,At Risk
Sipes and Sons Pharmaceutical Limited,0,375,14964183.0,5,3,3,533,11,Loyal
Skiles-McKenzie Pharmaceutical Limited,0,349,26418367.0,5,2,5,525,12,At Risk
Skiles-McKenzie Pharmacy,0,408,18389344.0,5,5,4,554,14,Champions
Smith Inc Pharm,0,338,13889587.0,5,2,2,522,9,At Risk
Smith Inc Pharmacy,0,403,30887275.0,5,5,5,555,15,Champions
Spencer-Jerde Pharmaceutical Limited,0,426,19269849.0,5,5,4,554,14,Champions
Spencer-Jerde Pharmacy,731,210,3830684.0,1,1,1,111,3,Lost
"Spinka, Schowalter and Conn ",0,440,21604758.0,5,5,4,554,14,Champions
"Spinka, Schowalter and Conn Pharma Plc",0,393,28704816.0,5,4,5,545,14,Champions
"Spinka, Schowalter and Conn Pharmaceutical Limited",731,193,3752993.0,1,1,1,111,3,Lost
Stanton-Cole ,731,181,3577304.0,1,1,1,111,3,Lost
Stanton-Cole Pharma Plc,0,389,16630149.0,5,4,3,543,12,Loyal
Stanton-Cole Pharmacy,0,396,19043192.0,5,4,4,544,13,Champions
Stehr-Champlin Pharmaceutical Limited,731,220,2413607.0,1,2,1,121,4,New
Stehr-Champlin Pharmacy,0,377,37465602.0,5,3,5,535,13,Loyal
Steuber Ltd Pharm,0,380,16006057.0,5,3,3,533,11,Loyal
Steuber Ltd Pharmaceutical Limited,0,367,17510886.0,5,2,3,523,10,At Risk
Steuber Ltd Pharmacy,731,193,2676869.0,1,1,1,111,3,Lost
"Steuber, Hills and Botsford ",0,404,22559996.0,5,5,5,555,15,Champions
"Steuber, Hills and Botsford Pharma Plc",0,361,17795955.0,5,2,3,523,10,At Risk
"Steuber, Skiles and Kilback Pharma Plc",731,210,4182127.0,1,1,2,112,4,New
"Steuber, Skiles and Kilback Pharmaceutical Limited",0,377,20126180.0,5,3,4,534,12,Loyal
"Steuber, Skiles and Kilback Pharmacy",0,402,21145446.0,5,5,4,554,14,Champions
Streich PLC ,0,362,44454616.0,5,2,5,525,12,At Risk
